repository_owner,repository_uri,overall_score,quality_score,maintainability_score,popularity_score,style_errors_per_nloc,security_notes_per_nloc,security_warnings_per_nloc,security_errors_per_nloc,subscribers_count_by_age,stargazers_count_by_age,forks_count_by_age,average_cyclomatic_complexity_for_repo_pct
microsoft_clr-samples,https://github.com/microsoft/clr-samples,45.62,98.89,36.24,1.74,0.007,0.005,0.0,0.0,0.03,0.05,0.03,1.85
kennethshackleton_SKPokerEval,https://github.com/kennethshackleton/SKPokerEval,45.61,99.45,37.26,0.11,0.001,0.004,0.0,0.0,0.0,0.05,0.01,1.26
indutny_heartbleed,https://github.com/indutny/heartbleed,45.57,98.21,37.71,0.8,0.025,0.0,0.0,0.0,0.01,0.14,0.01,0.81
flaviotordini_minitube,https://github.com/flaviotordini/minitube,45.54,98.06,37.66,0.89,0.017,0.001,0.0,0.001,0.01,0.12,0.03,2.09
Restream_reindexer,https://github.com/Restream/reindexer,45.52,98.32,35.68,2.56,0.016,0.002,0.0,0.0,0.03,0.41,0.04,2.62
rizinorg_rz-ghidra,https://github.com/rizinorg/rz-ghidra,45.52,94.48,38.87,3.23,0.075,0.004,0.0,0.0,0.03,0.63,0.07,2.11
beark_ftl,https://github.com/beark/ftl,45.52,98.7,36.15,1.72,0.018,0.0,0.0,0.0,0.02,0.31,0.02,0.66
coolxv_cpp-stub,https://github.com/coolxv/cpp-stub,45.5,98.37,37.35,0.79,0.021,0.002,0.0,0.0,0.01,0.07,0.03,0.74
google_xrtl,https://github.com/google/xrtl,45.5,99.4,36.46,0.65,0.003,0.002,0.0,0.0,0.01,0.07,0.01,1.45
karllen_cef3-duilib-YDDemo,https://github.com/karllen/cef3-duilib-YDDemo,45.49,96.35,38.92,1.19,0.051,0.002,0.0,0.0,0.01,0.13,0.07,1.13
Lin20_BinaryMeshFitting,https://github.com/Lin20/BinaryMeshFitting,45.48,97.99,37.6,0.84,0.026,0.002,0.0,0.0,0.01,0.16,0.01,1.02
arvidsson_BrainTree,https://github.com/arvidsson/BrainTree,45.46,98.93,36.71,0.74,0.013,0.0,0.0,0.0,0.01,0.08,0.02,1.11
coderespawn_prefabricator-ue4,https://github.com/coderespawn/prefabricator-ue4,45.46,98.52,36.08,1.78,0.016,0.0,0.0,0.0,0.02,0.24,0.05,2.19
AndresTraks_BulletSharp,https://github.com/AndresTraks/BulletSharp,45.45,97.21,38.4,0.74,0.042,0.0,0.0,0.0,0.01,0.08,0.02,0.3
Eyescale_Equalizer,https://github.com/Eyescale/Equalizer,45.43,98.26,37.35,0.68,0.017,0.004,0.0,0.0,0.01,0.05,0.02,2.0
flomesh-io_pipy,https://github.com/flomesh-io/pipy,45.41,98.6,32.05,5.58,0.005,0.006,0.0,0.0,0.06,0.91,0.11,3.66
gp-alex_world-of-might-and-magic,https://github.com/gp-alex/world-of-might-and-magic,45.39,98.42,36.4,1.34,0.0,0.006,0.0,0.002,0.02,0.13,0.02,2.51
VelsonWang_HmiFuncDesigner,https://github.com/VelsonWang/HmiFuncDesigner,45.38,97.58,34.38,4.18,0.028,0.004,0.0,0.0,0.04,0.39,0.21,1.85
Project-LemonLime_Project_LemonLime,https://github.com/Project-LemonLime/Project_LemonLime,45.36,98.89,35.14,2.05,0.003,0.006,0.0,0.0,0.02,0.37,0.05,2.85
USTC-Hackergame_hackergame2020-writeups,https://github.com/USTC-Hackergame/hackergame2020-writeups,45.35,98.32,31.36,6.38,0.009,0.003,0.0,0.0,0.06,1.1,0.17,4.62
BDLDev_bdlauncher,https://github.com/BDLDev/bdlauncher,45.32,96.74,37.84,1.39,0.029,0.006,0.0,0.002,0.02,0.12,0.03,1.49
cityflow-project_CityFlow,https://github.com/cityflow-project/CityFlow,45.3,97.64,35.53,2.74,0.029,0.001,0.0,0.0,0.02,0.47,0.12,2.09
Apress_design-patterns-in-modern-cpp,https://github.com/Apress/design-patterns-in-modern-cpp,45.29,97.2,36.5,2.16,0.036,0.005,0.0,0.0,0.02,0.26,0.1,0.85
puzzlepaint_camera_calibration,https://github.com/puzzlepaint/camera_calibration,45.29,98.38,34.14,3.35,0.005,0.008,0.0,0.001,0.03,0.59,0.1,2.34
jbandela_cppcomponents,https://github.com/jbandela/cppcomponents,45.28,98.05,37.17,0.63,0.022,0.004,0.0,0.0,0.01,0.06,0.01,1.45
eyalroz_cuda-api-wrappers,https://github.com/eyalroz/cuda-api-wrappers,45.27,98.14,36.58,1.1,0.022,0.003,0.0,0.0,0.01,0.22,0.03,1.3
gikou-official_Gikou,https://github.com/gikou-official/Gikou,45.26,98.43,36.03,1.32,0.007,0.011,0.0,0.0,0.02,0.12,0.02,2.38
0vercl0k_blazefox,https://github.com/0vercl0k/blazefox,45.23,99.12,35.5,1.05,0.004,0.003,0.0,0.0,0.01,0.13,0.05,2.21
owent_libcopp,https://github.com/owent/libcopp,45.2,98.25,36.37,0.97,0.014,0.008,0.0,0.0,0.01,0.16,0.03,1.87
FeJQ_AUPK,https://github.com/FeJQ/AUPK,45.2,99.38,32.34,3.89,0.001,0.001,0.0,0.0,0.01,0.64,0.31,2.51
securesocketfunneling_ssf,https://github.com/securesocketfunneling/ssf,45.19,97.23,35.22,3.13,0.036,0.002,0.0,0.0,0.03,0.52,0.09,1.6
DigiDNA_ISOBMFF,https://github.com/DigiDNA/ISOBMFF,45.19,97.67,37.0,0.89,0.03,0.003,0.0,0.0,0.01,0.12,0.03,1.04
nevermoe_unity_metadata_loader,https://github.com/nevermoe/unity_metadata_loader,45.19,98.71,35.02,1.82,0.012,0.002,0.0,0.0,0.02,0.23,0.06,1.98
microsoft_Windows-iotcore-samples,https://github.com/microsoft/Windows-iotcore-samples,45.18,97.41,31.92,6.2,0.028,0.004,0.0,0.0,0.05,0.4,0.43,2.72
Artanidos_AnimationMaker,https://github.com/Artanidos/AnimationMaker,45.18,97.24,37.67,0.63,0.038,0.001,0.0,0.0,0.01,0.06,0.01,1.17
AnyDSL_thorin,https://github.com/AnyDSL/thorin,45.15,97.49,37.43,0.54,0.024,0.003,0.0,0.0,0.01,0.05,0.0,3.89
yanyan-li_PlanarSLAM,https://github.com/yanyan-li/PlanarSLAM,45.15,96.67,35.93,2.84,0.038,0.007,0.0,0.0,0.02,0.52,0.12,2.3
phbender_liblanelet,https://github.com/phbender/liblanelet,45.15,98.24,37.05,0.16,0.019,0.005,0.0,0.0,0.0,0.04,0.02,1.17
ElunaLuaEngine_Eluna,https://github.com/ElunaLuaEngine/Eluna,45.13,99.29,35.11,0.99,0.005,0.001,0.0,0.0,0.01,0.07,0.06,1.64
nyorain_vpp,https://github.com/nyorain/vpp,45.13,99.13,35.59,0.68,0.009,0.001,0.0,0.0,0.01,0.12,0.0,1.15
Yaafe_Yaafe,https://github.com/Yaafe/Yaafe,45.12,97.2,37.51,0.65,0.029,0.009,0.0,0.0,0.01,0.07,0.01,1.96
BYVoid_uchardet,https://github.com/BYVoid/uchardet,45.11,97.62,36.78,0.93,0.019,0.007,0.0,0.0,0.01,0.14,0.03,3.72
amroibrahim_DIYDoom,https://github.com/amroibrahim/DIYDoom,45.1,98.87,33.8,2.62,0.01,0.002,0.0,0.0,0.04,0.3,0.01,1.81
mastercomfig_team-comtress-2,https://github.com/mastercomfig/team-comtress-2,45.08,96.06,37.12,2.04,0.046,0.003,0.0,0.001,0.02,0.3,0.07,2.06
procxx_kepka,https://github.com/procxx/kepka,45.05,99.42,35.09,0.63,0.002,0.001,0.0,0.0,0.01,0.06,0.01,1.94
aappleby_MetroBoy,https://github.com/aappleby/MetroBoy,45.03,98.31,33.22,3.57,0.014,0.004,0.0,0.0,0.03,0.96,0.02,2.74
jgromes_RadioLib,https://github.com/jgromes/RadioLib,44.99,96.43,35.58,2.96,0.043,0.005,0.0,0.0,0.03,0.37,0.11,2.43
tsiv_ccminer-cryptonight,https://github.com/tsiv/ccminer-cryptonight,44.98,97.94,35.11,1.9,0.016,0.007,0.0,0.001,0.02,0.1,0.11,1.28
willpirkleaudio_ASPiK,https://github.com/willpirkleaudio/ASPiK,44.97,96.19,37.23,1.49,0.051,0.002,0.0,0.0,0.02,0.2,0.02,1.89
bloomberg_quantum,https://github.com/bloomberg/quantum,44.96,97.9,35.06,1.9,0.027,0.0,0.0,0.0,0.02,0.3,0.05,1.72
mohabouje_eDSP,https://github.com/mohabouje/eDSP,44.96,97.9,36.24,0.74,0.028,0.002,0.0,0.0,0.01,0.08,0.02,0.85
CoderMJLee_audio-video-dev-tutorial,https://github.com/CoderMJLee/audio-video-dev-tutorial,44.95,96.59,33.28,4.98,0.039,0.009,0.0,0.0,0.03,0.78,0.28,1.79
intel_libxcam,https://github.com/intel/libxcam,44.94,98.16,34.31,2.35,0.015,0.009,0.0,0.0,0.03,0.18,0.08,1.74
runner365_GPUImageRtmpPush,https://github.com/runner365/GPUImageRtmpPush,44.94,97.82,36.1,0.9,0.031,0.0,0.0,0.0,0.01,0.09,0.04,0.83
ruben2020_codequery,https://github.com/ruben2020/codequery,44.9,97.93,35.82,0.95,0.022,0.004,0.0,0.0,0.01,0.18,0.02,2.04
sfu-dis_corobase,https://github.com/sfu-dis/corobase,44.89,97.45,35.55,1.66,0.014,0.014,0.0,0.001,0.02,0.28,0.02,2.32
GammaUNC_FasTC,https://github.com/GammaUNC/FasTC,44.87,98.02,36.44,0.15,0.019,0.007,0.0,0.0,0.0,0.07,0.01,1.7
xuwening_libeventInterface,https://github.com/xuwening/libeventInterface,44.86,96.58,37.06,0.92,0.032,0.009,0.0,0.001,0.01,0.07,0.05,2.28
microsoft_mageslam,https://github.com/microsoft/mageslam,44.84,98.61,33.92,1.99,0.015,0.002,0.0,0.0,0.03,0.17,0.03,1.51
khalladay_render-with-notepad,https://github.com/khalladay/render-with-notepad,44.84,98.47,34.22,1.83,0.016,0.004,0.0,0.0,0.01,0.54,0.04,1.32
Mixaill_FakePDB,https://github.com/Mixaill/FakePDB,44.83,99.01,34.18,1.31,0.007,0.0,0.0,0.0,0.01,0.29,0.04,2.7
WalkerLau_Accelerating-CNN-with-FPGA,https://github.com/WalkerLau/Accelerating-CNN-with-FPGA,44.82,95.72,35.83,2.92,0.046,0.012,0.0,0.0,0.02,0.46,0.15,2.98
TartanLlama_minidbg,https://github.com/TartanLlama/minidbg,44.81,94.92,38.47,1.04,0.065,0.004,0.0,0.001,0.01,0.16,0.04,1.32
ds4dm_ecole,https://github.com/ds4dm/ecole,44.81,98.16,35.08,1.19,0.024,0.0,0.0,0.0,0.01,0.23,0.04,1.43
gilmaimon_ArduinoWebsockets,https://github.com/gilmaimon/ArduinoWebsockets,44.79,93.22,39.25,1.91,0.091,0.008,0.0,0.0,0.02,0.27,0.06,2.04
sidoh_esp8266_milight_hub,https://github.com/sidoh/esp8266_milight_hub,44.79,96.57,34.33,3.49,0.031,0.009,0.0,0.001,0.04,0.42,0.1,2.66
tjuskyzhang_Scaled-YOLOv4-TensorRT,https://github.com/tjuskyzhang/Scaled-YOLOv4-TensorRT,44.77,98.33,34.46,1.51,0.016,0.005,0.0,0.0,0.01,0.32,0.06,1.7
